title,speaker,calling,calling_original,year,season,url
Contemplation of past and present— Preparation for the future —...,Lorenzo Snow,President Lorenzo Snow,President Lorenzo Snow,1898,April,https://archive.org/details/conferencereport1898a
"63 I also overcame, and am sat down with my...",Lorenzo Snow,President Lorenzo Snow,President Lorenzo Snow,1898,April,https://archive.org/details/conferencereport1898a
The oath and covenant of the Priesthood— The promise to...,Joseph F. Smith,President Joseph F. Smith,President Joseph F. Smith,1898,April,https://archive.org/details/conferencereport1898a
"65 speak the truth, and that the Lord may give...",Joseph F. Smith,President Joseph F. Smith,President Joseph F. Smith,1898,April,https://archive.org/details/conferencereport1898a
69 this council of three to constitute the presiding and...,Joseph E. Smith,President Joseph E. Smith,President Joseph E. Smith,1898,April,https://archive.org/details/conferencereport1898a
"I trust that while I shall endeavor to address you,...",David H. Cannon,Elder David H. Cannon,Elder David H. Cannon,1898,April,https://archive.org/details/conferencereport1898a
"71 white as wool, and that we should be free...",David H. Cannoa,Elder David H. Cannoa,Elder David H. Cannoa,1898,April,https://archive.org/details/conferencereport1898a
"My brethren and sisters, I see in this assembly a...",Seymour B. Young,Elder Seymour B. Young,Elder Seymour B. Young,1898,April,https://archive.org/details/conferencereport1898a
73 saying whatever we considered necessary to say to our...,Seymour B. Young,Elder Seymour B. Young,Elder Seymour B. Young,1898,April,https://archive.org/details/conferencereport1898a
"75 have never grown dim, but that the Spirit of...",Jonathan G. Kimball,Elder Jonathan G. Kimball,Elder Jonathan G. Kimball,1898,April,https://archive.org/details/conferencereport1898a
I pray the Lord that I may be wise in...,Jonathan G. Kimball,Elder Jonathan G. Kimball,Elder Jonathan G. Kimball,1898,April,https://archive.org/details/conferencereport1898a
"I wish to say a few woris in testimony, relative to what President Seymour B.",Marriner W. Merrill,Elder Marriner W. Merrill,Elder Marriner W. Merrill,1898,April,https://archive.org/details/conferencereport1898a
79 and I took occasion to visit them about six...,Marriner W. Merrill,Elder Marriner W. Merrill,Elder Marriner W. Merrill,1898,April,https://archive.org/details/conferencereport1898a
Signs of the times— Fulfilment of prophecy — Spirit of...,Franklin D. Richards,Elder Franklin D. Richards,Elder Franklin D. Richards,1898,April,https://archive.org/details/conferencereport1898a
"in this land, and specifically stated that they should commence...",Franklin D. Richards,Elder Franklin D. Richards,Elder Franklin D. Richards,1898,April,https://archive.org/details/conferencereport1898a
"that want to hear and to learn of it, that...",George Q. Cannon,President George Q. Cannon,President George Q. Cannon,1898,April,https://archive.org/details/conferencereport1898a
Prophetic promises concerning the land of America and Its people—...,George Q. Cannon,President George Q. Cannon,President George Q. Cannon,1898,April,https://archive.org/details/conferencereport1898a
85 other ages who have overrun other lands and driven...,George Q. Cannon,President George Q. Cannon,President George Q. Cannon,1898,April,https://archive.org/details/conferencereport1898a
87 that the whole nation would believe it. I would...,George Q. Cannon,President George Q. Cannon,President George Q. Cannon,1898,April,https://archive.org/details/conferencereport1898a
Historical incidents — Keys of power from Joseph to the...,Wilford Woodruff,President Wilford Woodruff,President Wilford Woodruff,1898,April,https://archive.org/details/conferencereport1898a
"superintendent of Utah Stake, said: My brethren and sisters, I...",Lars E. Eggertsen,Elder Lars E. Eggertsen,Elder Lars E. Eggertsen,1898,April,https://archive.org/details/conferencereport1898a
I dislike to change the course of pleasure and joy...,Francis M. Lyman,Elder Francis M. Lyman,Elder Francis M. Lyman,1898,April,https://archive.org/details/conferencereport1898a
I am reminded of a circumstance that I wish to...,Seymour B. Young,Elder Seymour B. Young,Elder Seymour B. Young,1898,April,https://archive.org/details/conferencereport1898a
"Brethren and sisters, at the commencement of this Semi-Annual Conference I wish to say...",Lorenzo Snow. Opening Remarks,President Lorenzo Snow. Opening Remarks,President Lorenzo Snow. Opening Remarks,1898,October,https://archive.org/details/conferencereport1898sa
any other class of people.,George Q. Cannon,President George Q. Cannon,President George Q. Cannon,1898,October,https://archive.org/details/conferencereport1898sa
Condition of missionary fields— Preparation for the ministry — Relating...,George Q. Cannon,President George Q. Cannon,President George Q. Cannon,1898,October,https://archive.org/details/conferencereport1898sa
"5 very little clothing, and but few tools; but they...",George Q. Cannon,President George Q. Cannon,President George Q. Cannon,1898,October,https://archive.org/details/conferencereport1898sa
Guidance ot the Holy Spirit — Perpetuity of the Church...,Matthias F. Cowley,Elder Matthias F. Cowley,Elder Matthias F. Cowley,1898,October,https://archive.org/details/conferencereport1898sa
in exile' in Arizona.,Matthias F. Cowley,Elder Matthias F. Cowley,Elder Matthias F. Cowley,1898,October,https://archive.org/details/conferencereport1898sa
Missionary work in the Orient— Opposition encountered—Changes in Palestine —...,Anthon H. Lund,Elder Anthon H. Lund,Elder Anthon H. Lund,1898,October,https://archive.org/details/conferencereport1898sa
"11 American would like to live under, still it gives...",Anthon H. Lund,Elder Anthon H. Lund,Elder Anthon H. Lund,1898,October,https://archive.org/details/conferencereport1898sa
13 world will not stop it. He has revealed His...,Marriner W. Merrill,Elder Marriner W. Merrill,Elder Marriner W. Merrill,1898,October,https://archive.org/details/conferencereport1898sa
